Date,Open,High,Low,Close,AdjClose,Volume
06-06-2014,556.532043,556.532043,547.427063,554.806763,554.806763,1736755
09-06-2014,555.624512,561.358765,554.517578,560.580933,560.580933,1467518
10-06-2014,558.975342,562.056885,556.372498,559.015198,559.015198,1351701
11-06-2014,556.472229,558.347046,553.500366,557.309875,557.309875,1100112
12-06-2014,555.774109,556.462219,546.958313,549.840393,549.840393,1458493
13-06-2014,550.747925,550.787842,544.066284,550.249268,550.249268,1220542
16-06-2014,547.756165,548.115173,540.037354,542.789795,542.789795,1702562
17-06-2014,542.709961,543.826904,537.853333,541.523254,541.523254,1444555
18-06-2014,543.368164,552.044373,542.510559,551.854858,551.854858,1741769
19-06-2014,552.722473,553.480408,547.008179,553.380676,553.380676,2456827
20-06-2014,555.325378,556.053345,548.88501,554.83667,554.83667,4508344
23-06-2014,553.630005,563.453064,552.732483,563.403198,563.403198,1536808
24-06-2014,563.642517,571.078125,559.473938,563.074097,563.074097,2207143
25-06-2014,563.712341,578.37207,563.672424,577.065674,577.065674,1969392
26-06-2014,579.409241,580.855286,570.284302,574.422913,574.422913,1741969
27-06-2014,575.59967,578.282349,572.228943,575.659546,575.659546,2236925
30-06-2014,577.075623,577.983154,573.176331,573.704895,573.704895,1313797
01-07-2014,576.736572,582.799927,575.071167,581.074646,581.074646,1447965
02-07-2014,581.752808,583.837097,578.800903,580.740601,580.740601,1056392
03-07-2014,581.752808,583.408264,579.329468,583.129028,583.129028,714155
07-07-2014,582.161682,584.824341,578.003113,580.655823,580.655823,1064615
08-07-2014,576.078369,577.941284,564.584961,569.526367,569.526367,1909528
09-07-2014,570.015015,575.14093,567.817078,574.502686,574.502686,1116758
10-07-2014,564.360535,575.011292,563.463013,569.536316,569.536316,1356715
11-07-2014,570.344116,579.259644,569.855469,577.594238,577.594238,1621740
14-07-2014,581.004822,583.607727,576.447388,583.268616,583.268616,1854076
15-07-2014,584.13623,584.20105,574.981384,583.178894,583.178894,1623044
16-07-2014,586.390076,586.789001,580.605957,581.064697,581.064697,1397125
17-07-2014,577.943237,579.399231,567.053162,572.159119,572.159119,3016559
18-07-2014,591.376404,595.165955,580.406494,593.450684,593.450684,4014191
21-07-2014,590.129822,592.772522,583.630615,587.856018,587.856018,2062146
22-07-2014,589.1026,598.008179,588.982971,593.111633,593.111633,1699152
23-07-2014,591.605774,596.213074,590.877747,594.348206,594.348206,1233176
24-07-2014,594.816956,597.858582,590.149719,591.725403,591.725403,1035134
25-07-2014,588.783508,590.239502,585.422729,587.407288,587.407288,932453
28-07-2014,586.4599,590.877747,583.151978,588.982971,588.982971,986802
29-07-2014,587.138,588.085388,581.917358,584.006592,584.006592,1349896
30-07-2014,584.944031,587.885986,582.401001,585.811646,585.811646,1016483
31-07-2014,579.010315,582.052002,568.439331,570.034973,570.034973,2102757
01-08-2014,568.838257,574.383057,561.308899,564.520081,564.520081,1955253
04-08-2014,567.481995,573.774719,562.555481,571.58075,571.58075,1427308
05-08-2014,568.489197,570.41394,561.06958,563.522827,563.522827,1551247
06-08-2014,560.241882,569.137451,558.466736,564.823303,564.823303,1334353
07-08-2014,566.444824,568.329651,559.563721,561.817505,561.817505,1110942
08-08-2014,562.016968,568.68866,558.815796,567.212708,567.212708,1494793
11-08-2014,568.429382,568.927979,564.450317,566.325134,566.325134,1214726
12-08-2014,562.974365,564.350586,559.344299,561.18927,561.18927,1542022
13-08-2014,565.756714,573.425659,564.200989,573.206238,573.206238,1439241
14-08-2014,574.602417,576.317749,569.316956,573.076599,573.076599,985498
15-08-2014,576.277832,577.79364,568.957947,571.909851,571.909851,1519159
18-08-2014,574.532593,582.909607,574.422913,580.56604,580.56604,1284116
19-08-2014,583.398254,585.731873,582.401001,585.253174,585.253174,978680
20-08-2014,584.275879,585.093628,580.974915,582.889648,582.889648,1036739
21-08-2014,582.221497,582.899658,579.548828,581.772766,581.772766,914805
22-08-2014,581.992126,583.633606,579.050232,580.964966,580.964966,789060
25-08-2014,583.119019,583.398254,577.414734,578.61145,578.61145,1361428
26-08-2014,579.668518,580.207031,575.001343,576.277832,576.277832,1639689
27-08-2014,575.689453,576.906128,568.542053,569.436584,569.436584,1703364
28-08-2014,568.000549,571.680481,565.547302,567.641541,567.641541,1292940
29-08-2014,569.765686,570.473755,565.516357,570.034973,570.034973,1083767
02-09-2014,570.284302,576.247925,569.626099,575.749268,575.749268,1578422
03-09-2014,578.411987,581.393799,573.425659,576.357605,576.357605,1215127
